File Name,Card,Code,Holo,Rev Holo,Year,Type,Promo,Country,Amount,Mavin Price,Ebay price,Troll&Toad Price,Subtotal
,Gloom,58/115,0,0,2005,Grass,0,EN,1,,,,0
,Weezing,33/113,0,0,2005,Grass,0,EN,1,,,,0
,Nincada,67/97,0,0,2003,Grass,0,EN,1,,,,0
,Nincada,66/97,0,0,2003,Grass,0,EN,1,,,,0
,Victreebel,13/92,0,1,2006,Grass,0,EN,1,40,,,40
,Volbeat,92/106,0,0,2008,Grass,0,EN,1,,,,0
,Combee,59/100,0,0,2008,Grass,0,EN,1,,,,0
,Snorunt,64/108,0,0,2007,Water,0,EN,1,,,,0
,Omanyte,60/92,0,0,2006,Water,0,EN,2,,,,0
,Ditto,40/113,0,0,2005,Water,0,EN,1,,,,0
,Bellsprout,49/92,0,0,2006,Grass,0,EN,1,,,,0
,Corphish,53/97,0,0,2003,Water,0,EN,1,,,,0
,Grimer,54/92,1,0,2006,Grass,0,EN,1,20,,,20
,Maganium,9/115,1,0,2005,Grass,0,EN,1,15,,,15
,Torterra,17/130,1,0,2007,Grass,0,EN,1,5,,,5
,Chikorita,77/123,0,0,2007,Grass,0,EN,1,,,,0
,Chikorita,51/115,0,0,2005,Grass,0,EN,1,,,,0
,Oddish,73/110,0,0,2006,Water,0,EN,1,,,,0
,Remoraid,71/115,0,0,2005,Water,0,EN,1,,,,0
,Relicanth,51/106,0,0,2008,Water,0,EN,1,,,,0
,Lotad,55/100,0,0,2006,Water,0,EN,1,,,,0
,Treecko,90/106,0,0,2008,Grass,0,EN,1,,,,0
,Regice,27/110,0,0,2006,Water,0,EN,1,,,,0
,Lileep,56/92,1,0,2006,Grass,0,EN,1,15,,,15
,Torterra,17/130,0,1,2007,Grass,0,EN,1,10,,,10
,Trapinch,84/110,0,0,2006,Grass,0,EN,3,,,,0
,Erika's Tangela,79/132,0,0,1999-2000,Grass,0,EN,1,,,,0
,Shuckle,72/111,0,0,1995-2000,Grass,0,EN,1,,,,0
,Huntail,42/106,0,0,2008,Water,0,EN,1,,,,0
,Togepi,41/101,0,0,2006,Water,0,EN,1,,,,0
,Gorebyss,38/106,0,0,2008,Water,0,EN,1,,,,0
,Quagsire,76/111,0,0,2009,Water,0,EN,1,,,,0
,Mantyke,55/130,0,0,2007,Water,0,EN,2,,,,0
,Finneon,83/123,0,0,2007,Water,0,EN,1,,,,0
,Totodile,78/115,0,0,2005,Water,0,EN,1,,,,0
,Energy,127/130,0,0,1999-2000,Grass,0,EN,1,,,,0
,Shelgon,38/101,0,0,2006,Water,0,EN,1,,,,0
,Totodile,106/123,0,0,2007,Water,0,EN,1,,,,0
,Bayleef,28/111,0,0,1995-2000,Grass,0,EN,2,,,,0
,Ekans,46/62,0,0,1999,Grass,0,EN,6,,,,0
,Exeggutor,35/64,0,0,1999,Grass,0,EN,3,,,,0
,Ekans,46/62,0,0,1999-2000,Grass,0,NL,1,,,,0
,Ekans,56/82,0,0,1999-2000,Grass,0,EN,2,,,,0
,Weezing,46/62,0,0,1999,Grass,0,EN,1,,,,0
,Erika's Bellsprout,75/132,0,0,1999-2000,Grass,0,EN,1,,,,0
,Pinsir,25/64,0,0,1999,Grass,0,EN,1,,,,0
,Erika's Gloom,46/132,0,0,1999-2000,Grass,0,EN,1,,,,0
,Tangrowth,10/103,1,0,2008,Grass,0,EN,1,50,,,50
,Turtwig,103/130,1,0,2007,Grass,0,EN,1,5,,,5
,Kakuna,46/113,0,0,2005,Grass,0,EN,1,,,,0
,Kakuna,73/106,0,0,2008,Grass,0,EN,1,,,,0
,Kakuna,66/111,0,0,2009,Grass,0,EN,1,,,,0
,Zubat,83/107,0,0,2005,Grass,0,EN,1,,,,0
,Caterpie,63/106,0,0,2008,Grass,0,EN,1,,,,0
,Grotle,37/100,0,0,2008,Grass,0,EN,1,,,,0
,Grotle,49/130,0,0,2007,Grass,0,EN,3,,,,0
,Oddish,64/115,0,0,2005,Grass,0,EN,1,,,,0
,Grovyle,40/106,0,0,2008,Grass,0,EN,1,,,,0
,Grovyle,32/100,0,0,2006,Grass,0,EN,1,,,,0
,Koffing,72/113,0,0,2005,Grass,0,EN,1,,,,0
,Koffing,62/107,0,0,2005,Grass,0,EN,1,,,,0
,Surskit,104/123,0,0,2007,Grass,0,EN,1,,,,0
,Surskit,82/110,0,0,2006,Grass,0,EN,1,,,,0
,Cherubi,75/130,0,0,2007,Grass,0,EN,2,,,,0
,Pigeot,8/64,1,0,1999,Normal,0,EN,1,20,,,20
,Togepi,88/106,0,1,2008,Normal,0,EN,1,,,,0
,Dodrio,46/123,0,1,2007,Normal,0,EN,1,4,,,4
,Bidoof,73/123,0,1,2007,Normal,0,EN,1,3,,,3
,Energy,84/101,1,0,2006,Normal,0,EN,1,10,,,10
,Porygon2,49/106,0,1,2008,Normal,0,EN,1,4,,,4
,Kingler,38/62,0,0,1999,Water,0,EN,1,,,,0
,Vaporeon,28/64,0,0,1999,Water,0,EN,1,,,,0
,Magikarp,35/102,0,0,1999,Water,0,EN,1,,,,0
,Tentacruel,44/62,0,0,1999,Water,0,EN,1,,,,0
,Dewgong,25/102,0,0,1999,Water,0,EN,1,,,,0
,Horsea,49/62,0,0,1999,Water,0,EN,1,,,,0
,Psyduck,53/62,0,0,1999,Water,0,EN,1,,,,0
,Seadra,42/62,0,0,1999,Water,0,EN,1,,,,0
,Cloyster,32/62,0,0,1999,Water,0,EN,1,,,,0
,Shellder,54/62,0,0,1999,Water,0,EN,1,,,,0
,Omastar,40/62,0,0,1999,Water,0,EN,1,,,,0
,Golduck,35/62,0,0,1999,Water,0,EN,1,,,,0
,Tentacool,56/32,0,0,1999,Water,0,EN,1,,,,0
,Krabby,51/62,0,0,1999,Water,0,EN,1,,,,0
,Poliwhirl,38/102,0,0,1999,Water,0,EN,1,,,,0
,Goldeen,53/64,0,0,1999,Water,0,EN,1,,,,0
,Meowth,56/64,0,0,1999,Normal,0,EN,2,,,,0
,Dodrio,34/64,0,0,1999,Normal,0,EN,2,,,,0
,Ditto,18/62,0,0,1999,Normal,0,EN,1,,,,0
,Fearow,36/64,0,0,1999,Normal,0,EN,1,,,,0
,Pidgey,57/102,0,0,1999,Normal,0,EN,2,,,,0
,Double Colorless Energy,96/102,0,0,1999,Normal,0,EN,1,,,,0
,Doduo,48/102,0,0,1999,Normal,0,EN,1,,,,0
,Persian,42/64,0,0,1999,Normal,0,EN,2,,,,0
,Raticate,40/102,0,0,1999,Normal,0,EN,4,,,,0
,Jigglypuff,54/64,0,0,1999,Normal,0,EN,4,,,,0
,Dragonair,18/102,0,0,1999,Normal,0,EN,1,,,,0
,Snorlax,27/64,0,0,1999,Normal,0,EN,1,,,,0
,Polygon,39/102,0,0,1999,Normal,0,EN,1,,,,0
,Farfetch'd,27/102,0,0,1999,Normal,0,EN,2,,,,0
,Tauros,47/64,0,0,1999,Normal,0,EN,2,,,,0
,Spearow,62/64,0,0,1999,Normal,0,EN,3,,,,0
,Rattata,61/102,0,0,1999,Normal,0,EN,3,,,,0
,Dratini,26/102,0,0,1999,Normal,0,EN,2,,,,0
,Kangaskhan,21/64,0,0,1999,Normal,0,EN,1,,,,0
,Misty's Horsea,86/132,0,0,1999-2000,Water,0,EN,1,,,,0
,Energie,102/102,0,0,1999-2000,Water,0,EN,1,,,,0
